episode,env_return,total_return,status
342,6.0,6.0,timeout
343,5.0,5.0,death
344,3.0,3.0,death
345,6.0,6.0,death
346,6.0,6.0,timeout
347,6.0,6.0,death
348,6.0,6.0,death
349,6.0,6.0,death
350,8.0,8.0,success
351,6.0,6.0,death
352,6.0,6.0,death
353,6.0,6.0,death
354,5.0,5.0,death
355,4.0,4.0,death
356,6.0,6.0,death
357,3.0,3.0,death
358,5.0,5.0,death
359,6.0,6.0,death
360,6.0,6.0,death
361,5.0,5.0,death
362,6.0,6.0,death
363,6.0,6.0,death
364,6.0,6.0,death
365,6.0,6.0,death
366,6.0,6.0,timeout
367,6.0,6.0,death
368,6.0,6.0,death
369,6.0,6.0,death
370,3.0,3.0,death
371,6.0,6.0,death
372,6.0,6.0,death
373,6.0,6.0,death
374,6.0,6.0,death
375,8.0,8.0,success
376,6.0,6.0,death
377,6.0,6.0,timeout
378,6.0,6.0,death
379,6.0,6.0,death
380,6.0,6.0,timeout
381,6.0,6.0,death
382,8.0,8.0,success
383,6.0,6.0,timeout
384,8.0,8.0,success
385,6.0,6.0,death
386,6.0,6.0,death
387,8.0,8.0,success
388,6.0,6.0,death
389,6.0,6.0,death
390,8.0,8.0,success
391,6.0,6.0,death
392,1.0,1.0,death
393,6.0,6.0,death
394,6.0,6.0,death
395,6.0,6.0,death
396,8.0,8.0,success
397,3.0,3.0,death
398,6.0,6.0,death
399,5.0,5.0,death
400,7.0,7.0,death
401,6.0,6.0,death
402,8.0,8.0,success
403,6.0,6.0,timeout
404,8.0,8.0,success
405,8.0,8.0,success
406,8.0,8.0,success
407,6.0,6.0,timeout
408,8.0,8.0,success
409,6.0,6.0,death
410,8.0,8.0,success
411,6.0,6.0,death
412,6.0,6.0,death
413,8.0,8.0,success
414,6.0,6.0,death
415,6.0,6.0,death
416,8.0,8.0,success
417,6.0,6.0,death
418,8.0,8.0,success
419,8.0,8.0,success
420,8.0,8.0,success
421,8.0,8.0,success
422,8.0,8.0,success
423,8.0,8.0,success
424,8.0,8.0,success
425,8.0,8.0,success
426,8.0,8.0,success
427,8.0,8.0,success
428,7.0,7.0,death
429,8.0,8.0,success
430,8.0,8.0,success
431,8.0,8.0,success
432,8.0,8.0,success
433,8.0,8.0,success
434,8.0,8.0,success
435,8.0,8.0,success
436,8.0,8.0,success
437,8.0,8.0,success
438,8.0,8.0,success
439,8.0,8.0,success
440,8.0,8.0,success
441,8.0,8.0,success
442,8.0,8.0,success
443,8.0,8.0,success
444,8.0,8.0,success
445,8.0,8.0,success
446,8.0,8.0,success
447,8.0,8.0,success
448,8.0,8.0,success
449,8.0,8.0,success
450,8.0,8.0,success
451,8.0,8.0,success
452,8.0,8.0,success
453,8.0,8.0,success
454,8.0,8.0,success
455,8.0,8.0,success
456,8.0,8.0,success
457,8.0,8.0,success
458,8.0,8.0,success
459,8.0,8.0,success
460,8.0,8.0,success
461,8.0,8.0,success
462,8.0,8.0,success
463,8.0,8.0,success
464,8.0,8.0,success
465,8.0,8.0,success
466,8.0,8.0,success
467,8.0,8.0,success
468,8.0,8.0,success
469,8.0,8.0,success
470,8.0,8.0,success
471,8.0,8.0,success
472,8.0,8.0,success
473,8.0,8.0,success
474,8.0,8.0,success
475,8.0,8.0,success
476,8.0,8.0,success
477,8.0,8.0,success
478,8.0,8.0,success
479,8.0,8.0,success
480,8.0,8.0,success
481,8.0,8.0,success
482,8.0,8.0,success
483,8.0,8.0,success
484,8.0,8.0,success
485,8.0,8.0,success
486,8.0,8.0,success
487,8.0,8.0,success
488,8.0,8.0,success
489,8.0,8.0,success
490,8.0,8.0,success
491,8.0,8.0,success
492,8.0,8.0,success
493,8.0,8.0,success
494,6.0,6.0,death
495,8.0,8.0,success
496,8.0,8.0,success
497,8.0,8.0,success
498,8.0,8.0,success
499,8.0,8.0,success
500,8.0,8.0,success
501,8.0,8.0,success
502,8.0,8.0,success
503,8.0,8.0,success
504,8.0,8.0,success
505,8.0,8.0,success
506,8.0,8.0,success
507,8.0,8.0,success
508,8.0,8.0,success
509,8.0,8.0,success
510,8.0,8.0,success
511,8.0,8.0,success
512,8.0,8.0,success
513,8.0,8.0,success
514,8.0,8.0,success
515,8.0,8.0,success
516,8.0,8.0,success
517,8.0,8.0,success
518,8.0,8.0,success
519,8.0,8.0,success
520,8.0,8.0,success
521,8.0,8.0,success
522,8.0,8.0,success
523,8.0,8.0,success
524,8.0,8.0,success
525,8.0,8.0,success
526,8.0,8.0,success
527,8.0,8.0,success
528,8.0,8.0,success
529,8.0,8.0,success
530,8.0,8.0,success
531,8.0,8.0,success
532,6.0,6.0,timeout
533,8.0,8.0,success
534,8.0,8.0,success
535,8.0,8.0,success
536,8.0,8.0,success
537,8.0,8.0,success
538,8.0,8.0,success
539,8.0,8.0,success
540,8.0,8.0,success
541,8.0,8.0,success
542,8.0,8.0,success
543,8.0,8.0,success
544,8.0,8.0,success
545,8.0,8.0,success
546,8.0,8.0,success
547,8.0,8.0,success
548,8.0,8.0,success
549,8.0,8.0,success
550,8.0,8.0,success
551,8.0,8.0,success
552,8.0,8.0,success
553,8.0,8.0,success
554,8.0,8.0,success
555,8.0,8.0,success
556,8.0,8.0,success
